battle_id,win,turns,damage_taken,final_hp
730,True,5,32,80
731,True,4,32,80
732,True,4,24,80
733,True,4,24,80
734,True,4,24,80
735,True,4,24,80
736,True,3,24,80
737,True,4,24,80
738,True,4,24,80
739,True,4,24,80
740,True,4,24,80
741,True,4,24,80
742,True,4,24,80
743,True,4,24,80
744,True,4,24,80
745,True,4,24,80
746,True,4,24,80
747,True,4,24,80
748,True,4,24,80
749,True,4,24,80
750,True,4,24,80
751,True,3,24,80
752,True,4,24,80
753,True,4,24,80
754,True,4,24,80
755,True,4,24,80
756,True,4,24,80
757,True,4,24,80
758,True,4,24,80
759,True,4,24,80
760,True,4,24,80
761,True,4,24,80
762,True,4,24,80
763,True,4,24,80
764,True,4,24,80
765,True,4,24,80
766,True,4,24,80
767,True,4,24,80
768,True,3,24,80
769,True,4,24,80
770,True,4,24,80
771,True,4,24,80
772,True,5,32,80
773,True,4,24,80
774,True,4,32,80
775,True,3,24,80
776,True,4,24,80
777,True,4,24,80
778,True,4,24,80
779,True,4,24,80
780,True,4,24,80
781,True,4,24,80
782,True,4,24,80
783,True,4,24,80
784,True,4,24,80
785,True,4,24,80
786,True,4,24,80
787,True,4,24,80
788,True,4,24,80
789,True,4,24,80
790,True,4,24,80
791,True,3,24,80
792,True,4,24,80
793,True,5,32,80
794,True,3,16,80
795,True,4,24,80
796,True,4,24,80
797,True,4,24,80
798,True,3,24,80
799,True,4,24,80
800,True,4,24,80
801,True,3,24,80
802,True,3,24,80
803,True,4,24,80
804,True,4,32,80
805,True,4,24,80
806,True,3,24,80
807,True,4,24,80
808,True,4,24,80
809,True,4,24,80
810,True,4,24,80
811,True,5,32,80
812,True,3,24,80
813,True,4,24,80
814,True,4,24,80
815,True,4,24,80
816,True,4,24,80
817,True,4,24,80
818,True,4,24,80
819,True,4,24,80
820,True,3,16,80
821,True,4,32,80
822,True,4,24,80
823,True,4,24,80
824,True,3,24,80
825,True,4,24,80
826,True,4,24,80
827,True,4,24,80
828,True,4,24,80
829,True,4,24,80
830,True,4,32,80
831,True,4,24,80
832,True,4,24,80
833,True,4,24,80
834,True,4,24,80
835,True,4,24,80
836,True,4,24,80
837,True,4,24,80
838,True,4,24,80
839,True,4,24,80
840,True,4,24,80
841,True,4,24,80
842,True,3,24,80
843,True,4,24,80
844,True,4,24,80
845,True,4,24,80
846,True,4,24,80
847,True,4,24,80
848,True,4,24,80
849,True,4,24,80
850,True,5,32,80
851,True,4,24,80
852,True,4,24,80
853,True,4,24,80
854,True,4,24,80
855,True,4,24,80
856,True,4,24,80
857,True,4,24,80
858,True,4,24,80
859,True,4,24,80
860,True,4,24,80
861,True,3,24,80
862,True,3,24,80
863,True,4,24,80
864,True,3,24,80
865,True,4,24,80
866,True,3,16,80
867,True,4,24,80
868,True,5,32,80
869,True,3,24,80
870,True,4,24,80
871,True,3,24,80
872,True,4,24,80
873,True,3,24,80
874,True,4,24,80
875,True,4,24,80
876,True,3,16,80
877,True,4,24,80
878,True,4,24,80
879,True,4,24,80
880,True,3,24,80
881,True,4,32,80
882,True,4,24,80
883,True,4,32,80
884,True,4,24,80
885,True,4,24,80
886,True,4,24,80
887,True,4,24,80
888,True,4,24,80
889,True,3,24,80
890,True,4,24,80
891,True,4,24,80
892,True,4,24,80
893,True,4,24,80
894,True,4,24,80
895,True,4,24,80
896,True,5,32,80
897,True,4,24,80
898,True,4,24,80
899,True,4,24,80
900,True,4,24,80
901,True,4,24,80
902,True,4,24,80
903,True,4,32,80
904,True,4,32,80
905,True,4,24,80
906,True,4,24,80
907,True,4,24,80
908,True,3,24,80
909,True,4,24,80
910,True,4,24,80
911,True,4,24,80
912,True,4,24,80
913,True,4,24,80
914,True,4,32,80
915,True,4,24,80
916,True,4,24,80
917,True,4,24,80
918,True,4,24,80
919,True,3,24,80
920,True,4,24,80
921,True,4,24,80
922,True,4,24,80
923,True,4,24,80
924,True,3,24,80
925,True,4,24,80
926,True,4,24,80
927,True,4,24,80
928,True,4,32,80
929,True,3,16,80
930,True,4,24,80
931,True,4,32,80
932,True,4,24,80
933,True,3,16,80
934,True,5,32,80
935,True,4,24,80
936,True,4,24,80
937,True,4,24,80
938,True,3,16,80
939,True,4,24,80
940,True,4,24,80
941,True,4,24,80
942,True,4,24,80
943,True,3,24,80
944,True,4,32,80
945,True,4,24,80
946,True,3,16,80
947,True,4,24,80
948,True,4,24,80
949,True,4,24,80
950,True,4,24,80
951,True,3,24,80
952,True,4,24,80
953,True,4,24,80
954,True,4,24,80
955,True,4,24,80
956,True,4,32,80
957,True,4,32,80
958,True,4,24,80
959,True,4,24,80
960,True,3,24,80
961,True,4,24,80
962,True,4,24,80
963,True,4,24,80
964,True,4,32,80
965,True,4,24,80
966,True,4,32,80
967,True,4,24,80
968,True,4,24,80
969,True,4,24,80
970,True,4,24,80
971,True,4,24,80
972,True,4,24,80
973,True,4,24,80
974,True,4,24,80
975,True,4,24,80
976,True,4,24,80
977,True,4,24,80
978,True,4,24,80
979,True,4,24,80
980,True,4,24,80
981,True,4,32,80
982,True,3,16,80
983,True,3,16,80
984,True,4,24,80
985,True,4,24,80
986,True,4,24,80
